INST2_SPRITE db 32, 40
             db 04h, 04h, 08bh, 070h, 070h, 04h, 04h, 04h, 070h, 04h, 04h, 08bh, 08bh, 08bh, 08bh, 04h, 08bh, 08bh, 08bh, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h
             db 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 070h, 070h, 08bh, 070h, 070h, 070h, 070h, 08bh, 070h, 08bh, 08bh, 08bh, 070h, 070h, 070h, 08bh, 04h, 04h, 04h, 04h, 08bh, 070h
             db 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 08bh, 070h, 070h, 070h, 070h, 070h, 070h, 08bh, 070h, 070h, 08bh, 08bh, 08bh, 070h, 070h, 04h, 04h, 04h, 08bh
             db 01dh, 01dh, 08bh, 04h, 04h, 08bh, 01dh, 08bh, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 01dh, 01dh, 01dh, 01dh, 01dh, 08bh, 01dh, 08bh, 01dh, 01dh, 01dh, 01dh, 01dh, 01dh, 01dh, 08bh, 04h
             db 070h, 070h, 01dh, 070h, 070h, 01dh, 070h, 01dh, 08bh, 070h, 070h, 04h, 04h, 04h, 01dh, 04h, 08bh, 08bh, 08bh, 04h, 01dh, 01dh, 04h, 08bh, 01dh, 070h, 08bh, 070h, 08bh, 01dh, 070h, 070h
             db 073h, 0b8h, 01dh, 0bbh, 0b8h, 01dh, 0bbh, 01dh, 0b8h, 073h, 073h, 073h, 070h, 01dh, 070h, 070h, 070h, 070h, 070h, 08bh, 04h, 01dh, 04h, 04h, 01dh, 04h, 04h, 01dh, 08bh, 070h, 01dh, 070h
             db 0d3h, 0bbh, 01dh, 0bbh, 0bbh, 01dh, 073h, 01dh, 073h, 0b8h, 0b8h, 0b8h, 0bbh, 01dh, 0b8h, 0b8h, 073h, 0d3h, 073h, 070h, 070h, 08bh, 070h, 08bh, 01dh, 04h, 04h, 01dh, 04h, 04h, 04h, 08bh
             db 073h, 0b8h, 01dh, 073h, 01dh, 073h, 073h, 073h, 01dh, 073h, 0d3h, 073h, 0b8h, 01dh, 0b8h, 0bbh, 0b8h, 0bbh, 0b8h, 0bbh, 073h, 073h, 073h, 073h, 01dh, 01dh, 01dh, 01dh, 070h, 04h, 08bh, 08bh
             db 01dh, 01dh, 04h, 04h, 01dh, 01dh, 01dh, 01dh, 01dh, 04h, 04h, 04h, 04h, 01dh, 070h, 070h, 073h, 0b8h, 0d3h, 0b8h, 0d3h, 0b8h, 0b8h, 0b8h, 01dh, 0d3h, 0b8h, 01dh, 0bbh, 0b8h, 073h, 073h
             db 028h, 028h, 028h, 028h, 01dh, 028h, 028h, 028h, 01dh, 04h, 04h, 04h, 04h, 01dh, 028h, 028h, 04h, 04h, 04h, 04h, 04h, 04h, 071h, 070h, 01dh, 0d3h, 0d3h, 01dh, 0b8h, 0d3h, 0bbh, 0b8h
             db 028h, 028h, 028h, 01dh, 04h, 028h, 028h, 028h, 028h, 01dh, 028h, 028h, 028h, 01dh, 028h, 028h, 028h, 028h, 04h, 04h, 04h, 01dh, 04h, 028h, 01dh, 028h, 04h, 04h, 04h, 04h, 01dh, 04h
             db 028h, 028h, 028h, 01dh, 028h, 04h, 04h, 04h, 04h, 01dh, 028h, 028h, 028h, 04h, 01dh, 028h, 04h, 028h, 028h, 028h, 01dh, 028h, 028h, 028h, 01dh, 028h, 028h, 04h, 04h, 01dh, 04h, 04h
             db 04h, 04h, 01dh, 01dh, 01dh, 028h, 04h, 04h, 01dh, 01dh, 01dh, 028h, 028h, 04h, 04h, 01dh, 01dh, 01dh, 01dh, 01dh, 028h, 04h, 04h, 01dh, 01dh, 01dh, 01dh, 01dh, 01dh, 01dh, 028h, 028h
             db 04h, 04h, 04h, 08bh, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 028h, 028h, 028h, 028h, 028h, 04h, 04h, 04h, 028h, 028h
             db 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h, 04h
